function1_name,function2_name,file_name_function1,file_name_function2,parameter_passed,level_of_abstraction_function1,level_of_abstraction_function2,mapping_type,code_function1,code_function2
onCreate,openOrCreateDatabase,SQLInjectionActivity.java,unknown,"[['""sqli""', 'MODE_PRIVATE', 'null']]",Mid-level (Logic),Unknown,Direct,"onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);

        try {
            mDB = openOrCreateDatabase(""sqli"", MODE_PRIVATE, null);
            mDB.execSQL(""DROP TABLE IF EXISTS sqliuser;"");
            mDB.execSQL(""CREATE TABLE IF NOT EXISTS sqliuser(user VARCHAR, password VARCHAR, credit_card VARCHAR);"");
            mDB.execSQL(""INSERT INTO sqliuser VALUES ('admin', 'passwd123', '1234567812345678');"");
            mDB.execSQL(""INSERT INTO sqliuser VALUES ('diva', 'p@ssword', '1111222233334444');"");
            mDB.execSQL(""INSERT INTO sqliuser VALUES ('john', 'password123', '5555666677778888');"");

        }",
onCreate,mDB.execSQL,SQLInjectionActivity.java,unknown,[],Mid-level (Logic),Unknown,Direct,"onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);

        try {
            mDB = openOrCreateDatabase(""sqli"", MODE_PRIVATE, null);
            mDB.execSQL(""DROP TABLE IF EXISTS sqliuser;"");
            mDB.execSQL(""CREATE TABLE IF NOT EXISTS sqliuser(user VARCHAR, password VARCHAR, credit_card VARCHAR);"");
            mDB.execSQL(""INSERT INTO sqliuser VALUES ('admin', 'passwd123', '1234567812345678');"");
            mDB.execSQL(""INSERT INTO sqliuser VALUES ('diva', 'p@ssword', '1111222233334444');"");
            mDB.execSQL(""INSERT INTO sqliuser VALUES ('john', 'password123', '5555666677778888');"");

        }",
onCreate,mDB.execSQL,SQLInjectionActivity.java,unknown,[],Mid-level (Logic),Unknown,Direct,"onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);

        try {
            mDB = openOrCreateDatabase(""sqli"", MODE_PRIVATE, null);
            mDB.execSQL(""DROP TABLE IF EXISTS sqliuser;"");
            mDB.execSQL(""CREATE TABLE IF NOT EXISTS sqliuser(user VARCHAR, password VARCHAR, credit_card VARCHAR);"");
            mDB.execSQL(""INSERT INTO sqliuser VALUES ('admin', 'passwd123', '1234567812345678');"");
            mDB.execSQL(""INSERT INTO sqliuser VALUES ('diva', 'p@ssword', '1111222233334444');"");
            mDB.execSQL(""INSERT INTO sqliuser VALUES ('john', 'password123', '5555666677778888');"");

        }",
onCreate,mDB.execSQL,SQLInjectionActivity.java,unknown,[],Mid-level (Logic),Unknown,Direct,"onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);

        try {
            mDB = openOrCreateDatabase(""sqli"", MODE_PRIVATE, null);
            mDB.execSQL(""DROP TABLE IF EXISTS sqliuser;"");
            mDB.execSQL(""CREATE TABLE IF NOT EXISTS sqliuser(user VARCHAR, password VARCHAR, credit_card VARCHAR);"");
            mDB.execSQL(""INSERT INTO sqliuser VALUES ('admin', 'passwd123', '1234567812345678');"");
            mDB.execSQL(""INSERT INTO sqliuser VALUES ('diva', 'p@ssword', '1111222233334444');"");
            mDB.execSQL(""INSERT INTO sqliuser VALUES ('john', 'password123', '5555666677778888');"");

        }",
onCreate,mDB.execSQL,SQLInjectionActivity.java,unknown,[],Mid-level (Logic),Unknown,Direct,"onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);

        try {
            mDB = openOrCreateDatabase(""sqli"", MODE_PRIVATE, null);
            mDB.execSQL(""DROP TABLE IF EXISTS sqliuser;"");
            mDB.execSQL(""CREATE TABLE IF NOT EXISTS sqliuser(user VARCHAR, password VARCHAR, credit_card VARCHAR);"");
            mDB.execSQL(""INSERT INTO sqliuser VALUES ('admin', 'passwd123', '1234567812345678');"");
            mDB.execSQL(""INSERT INTO sqliuser VALUES ('diva', 'p@ssword', '1111222233334444');"");
            mDB.execSQL(""INSERT INTO sqliuser VALUES ('john', 'password123', '5555666677778888');"");

        }",
onCreate,mDB.execSQL,SQLInjectionActivity.java,unknown,[],Mid-level (Logic),Unknown,Direct,"onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);

        try {
            mDB = openOrCreateDatabase(""sqli"", MODE_PRIVATE, null);
            mDB.execSQL(""DROP TABLE IF EXISTS sqliuser;"");
            mDB.execSQL(""CREATE TABLE IF NOT EXISTS sqliuser(user VARCHAR, password VARCHAR, credit_card VARCHAR);"");
            mDB.execSQL(""INSERT INTO sqliuser VALUES ('admin', 'passwd123', '1234567812345678');"");
            mDB.execSQL(""INSERT INTO sqliuser VALUES ('diva', 'p@ssword', '1111222233334444');"");
            mDB.execSQL(""INSERT INTO sqliuser VALUES ('john', 'password123', '5555666677778888');"");

        }",
onCreate,Log.d,SQLInjectionActivity.java,unknown,[],Mid-level (Logic),Unknown,Direct,"onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);

        try {
            mDB = openOrCreateDatabase(""sqli"", MODE_PRIVATE, null);
            mDB.execSQL(""DROP TABLE IF EXISTS sqliuser;"");
            mDB.execSQL(""CREATE TABLE IF NOT EXISTS sqliuser(user VARCHAR, password VARCHAR, credit_card VARCHAR);"");
            mDB.execSQL(""INSERT INTO sqliuser VALUES ('admin', 'passwd123', '1234567812345678');"");
            mDB.execSQL(""INSERT INTO sqliuser VALUES ('diva', 'p@ssword', '1111222233334444');"");
            mDB.execSQL(""INSERT INTO sqliuser VALUES ('john', 'password123', '5555666677778888');"");

        }",
onCreate,e.getMessage,SQLInjectionActivity.java,unknown,[],Mid-level (Logic),Unknown,Direct,"onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);

        try {
            mDB = openOrCreateDatabase(""sqli"", MODE_PRIVATE, null);
            mDB.execSQL(""DROP TABLE IF EXISTS sqliuser;"");
            mDB.execSQL(""CREATE TABLE IF NOT EXISTS sqliuser(user VARCHAR, password VARCHAR, credit_card VARCHAR);"");
            mDB.execSQL(""INSERT INTO sqliuser VALUES ('admin', 'passwd123', '1234567812345678');"");
            mDB.execSQL(""INSERT INTO sqliuser VALUES ('diva', 'p@ssword', '1111222233334444');"");
            mDB.execSQL(""INSERT INTO sqliuser VALUES ('john', 'password123', '5555666677778888');"");

        }",
onCreate,setContentView,SQLInjectionActivity.java,unknown,[['activity_sqlinjection']],Mid-level (Logic),Unknown,Direct,"onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);

        try {
            mDB = openOrCreateDatabase(""sqli"", MODE_PRIVATE, null);
            mDB.execSQL(""DROP TABLE IF EXISTS sqliuser;"");
            mDB.execSQL(""CREATE TABLE IF NOT EXISTS sqliuser(user VARCHAR, password VARCHAR, credit_card VARCHAR);"");
            mDB.execSQL(""INSERT INTO sqliuser VALUES ('admin', 'passwd123', '1234567812345678');"");
            mDB.execSQL(""INSERT INTO sqliuser VALUES ('diva', 'p@ssword', '1111222233334444');"");
            mDB.execSQL(""INSERT INTO sqliuser VALUES ('john', 'password123', '5555666677778888');"");

        }",
search,findViewById,SQLInjectionActivity.java,unknown,[['ivi1search']],High-level (Application),Unknown,Direct,"search(View view) {
        EditText srchtxt = (EditText) findViewById(R.id.ivi1search);
        Cursor cr = null;
        try {
            cr = mDB.rawQuery(""SELECT * FROM sqliuser WHERE user = '"" + srchtxt.getText().toString() + ""'"", null);
            StringBuilder strb = new StringBuilder("""");
            if ((cr != null) && (cr.getCount() > 0)) {
                cr.moveToFirst();

                do {
                    strb.append(""User: ("" + cr.getString(0) + "") pass: ("" + cr.getString(1) + "") Credit card: ("" + cr.getString(2) + "")\n"");
                }",
